200
5
10000
68,99,9,18,32
40,58,93,77,78
43,61,84,73,84
72,33,58,91,27
87,30,14,96,32
59,49,31,10,84
67,54,19,58,74
89,36,16,70,72
84,38,41,42,85
43,63,9,21,60
92,97,67,11,55
90,45,74,88,60
23,65,85,91,8
20,26,90,78,34
97,76,77,70,54
57,23,40,53,47
33,40,33,51,60
7,91,42,96,8
69,51,74,27,39
56,41,16,47,42
16,8,45,30,10
41,42,62,37,62
7,71,44,63,52
74,20,68,61,65
54,54,76,73,32
67,19,76,80,61
15,32,78,5,9
85,65,29,82,25
83,27,15,49,15
42,20,30,11,56
29,99,93,79,3
64,81,16,78,13
3,87,38,57,59
9,4,27,47,95
35,10,32,91,93
24,2,31,92,49
72,61,88,94,67
70,10,79,33,17
47,22,86,52,39
78,59,61,12,91
60,45,30,37,60
11,8,55,47,90
60,27,8,39,94
5,24,90,4,53
24,53,70,50,25
52,53,58,90,12
39,84,35,58,63
14,46,11,46,75
65,17,66,14,63
99,5,63,84,7
69,77,26,97,80
96,96,92,49,16
54,41,29,33,39
37,3,98,48,37
35,99,59,68,7
19,99,18,36,1
10,37,39,66,38
88,2,1,6,48
61,10,27,54,38
95,40,4,16,39
18,63,38,7,83
49,29,42,35,27
69,82,69,64,14
86,14,4,18,46
28,39,68,8,46
6,11,30,61,59
40,18,39,41,12
88,44,75,65,20
94,37,87,71,7
78,77,45,34,85
43,40,83,35,74
31,81,30,92,49
54,28,55,70,48
80,52,37,65,6
11,64,31,76,73
27,21,74,71,57
3,39,49,81,44
32,97,18,32,41
2,37,76,27,35
49,40,46,95,68
27,75,78,49,61
81,9,99,51,1
18,4,58,65,16
83,69,84,17,37
84,22,89,91,70
49,54,74,23,26
64,86,1,17,76
20,41,86,19,87
52,59,95,28,42
42,56,58,70,26
51,76,17,67,22
66,47,18,40,2
95,53,70,81,81
18,38,49,54,55
37,6,21,52,12
70,26,43,38,47
22,27,26,6,26
87,81,67,8,91
67,17,66,31,37
15,87,89,98,41
1,22,66,14,11
37,32,63,17,82
91,34,88,31,26
59,37,45,37,57
2,58,52,85,33
44,7,89,84,21
29,53,83,7,37
37,70,80,54,67
30,20,58,40,22
20,88,52,95,33
19,34,21,97,47
79,34,34,44,3
41,27,96,4,55
79,40,69,46,19
49,46,81,10,61
21,38,65,63,38
97,35,61,76,63
86,99,82,23,42
15,65,75,95,20
57,58,61,73,62
76,17,22,78,45
14,5,52,46,78
57,41,10,40,57
80,46,50,34,31
93,14,30,92,33
31,10,84,42,71
66,70,86,56,73
30,44,16,4,87
82,97,54,63,46
11,79,54,93,21
71,50,70,72,52
94,57,37,63,95
35,68,18,62,66
71,80,96,30,24
76,47,80,91,27
76,27,80,96,63
26,12,21,53,48
31,24,58,19,43
58,88,70,40,87
31,3,71,14,44
98,98,62,16,87
26,29,4,66,58
92,23,1,54,24
11,8,4,54,50
72,55,69,64,33
46,86,70,86,62
20,98,77,31,56
38,90,28,99,86
57,46,47,10,58
5,22,78,2,42
19,19,64,74,84
65,24,58,29,35
35,95,47,77,91
89,75,17,14,49
41,97,67,30,52
15,95,84,14,86
99,99,59,48,45
19,78,51,1,62
74,30,47,4,3
63,6,61,71,50
92,86,51,54,83
29,59,97,30,57
47,7,65,42,8
80,61,7,43,88
7,53,71,33,10
43,54,75,32,88
89,25,47,12,50
9,55,83,68,22
99,8,1,8,49
38,80,46,82,44
76,52,54,27,6
52,67,76,59,26
48,17,54,20,34
55,78,59,60,40
17,57,37,76,26
63,92,47,44,49
92,1,55,29,93
77,42,76,68,77
31,70,75,24,38
44,34,23,46,15
76,86,41,94,50
18,78,28,79,15
7,69,78,68,22
40,87,58,49,88
47,49,51,85,42
73,34,40,87,63
41,80,16,17,56
70,38,21,99,61
86,14,88,76,64
8,93,59,81,63
63,86,3,52,30
77,35,39,24,4
91,18,73,57,21
24,11,34,8,95
19,19,45,36,20
63,29,20,67,30
72,56,66,57,86
17,2,35,66,95
46,58,96,5,82
66,2,24,69,10
