500
10
25000
36,67,23,37,61,96,46,69,90,83
21,77,46,51,99,4,32,97,9,32
87,25,96,3,36,5,76,87,8,17
18,31,80,57,82,58,71,22,15,46
33,40,86,1,94,32,45,31,69,83
68,38,24,67,91,79,62,1,95,70
24,12,69,54,16,89,23,80,76,46
30,20,91,68,53,39,66,31,41,36
44,88,21,18,91,85,27,12,24,21
57,55,79,52,43,57,80,32,98,42
93,12,94,80,71,52,33,92,72,16
53,29,45,10,33,76,46,55,53,37
76,60,86,81,7,52,45,86,23,91
8,79,78,20,2,44,84,22,74,86
10,16,91,88,41,28,50,43,17,11
34,55,33,22,21,79,85,68,50,6
1,62,18,98,3,98,57,78,85,57
6,68,9,15,12,47,22,42,54,95
19,1,23,22,19,75,77,44,52,27
85,4,89,23,21,74,91,3,18,1
47,61,54,18,23,63,43,93,1,15
49,40,87,64,94,36,72,43,56,87
59,24,60,37,82,69,44,38,3,88
15,63,7,61,3,79,62,18,35,92
44,37,12,69,87,3,92,77,94,63
56,19,3,66,75,63,50,44,58,26
20,27,60,76,29,72,2,61,8,27
82,65,16,51,87,17,44,84,69,81
4,88,58,63,22,10,30,29,49,71
65,57,87,17,81,76,26,20,18,26
15,83,43,79,44,22,69,57,92,21
24,61,4,21,60,25,23,3,54,33
52,61,39,33,12,64,19,5,41,1
28,86,89,81,69,18,9,9,36,62
80,82,98,5,82,99,66,35,27,47
75,49,13,96,14,36,62,98,76,57
45,99,90,45,2,40,69,56,66,76
79,81,3,41,29,36,70,14,26,77
33,39,3,29,21,2,78,91,44,37
55,4,21,49,41,66,35,7,52,33
97,55,52,37,47,36,84,62,42,99
38,49,57,96,31,25,14,51,1,57
83,50,7,20,77,76,96,58,21,20
33,79,48,72,5,78,46,99,69,1
37,8,70,16,33,26,74,10,78,43
76,17,81,70,92,42,98,66,35,92
93,81,26,37,15,52,15,80,23,45
50,34,82,27,76,42,82,88,80,4
27,65,13,26,52,28,48,11,85,31
24,60,20,12,93,78,3,79,61,60
84,58,56,42,69,75,92,58,48,77
70,75,91,62,95,11,1,38,35,64
14,49,95,62,2,18,12,93,75,31
45,16,17,24,16,66,61,51,56,42
4,1,76,21,29,33,2,51,28,14
23,76,85,46,34,43,46,75,94,86
66,12,89,93,36,1,75,23,11,81
71,46,12,72,10,25,59,46,52,41
7,95,34,93,92,13,87,98,4,66
80,18,56,71,34,82,29,73,8,90
26,70,26,17,12,47,6,91,80,10
3,21,25,83,42,13,88,77,34,6
29,31,55,60,3,90,18,38,73,39
76,32,49,76,7,15,89,57,12,49
85,99,74,16,10,12,37,35,93,40
87,25,89,63,57,19,67,54,92,45
80,13,66,49,15,28,57,79,1,62
33,47,42,50,89,31,60,36,95,72
29,73,91,78,42,72,74,49,98,89
85,3,66,74,1,41,8,68,26,45
33,52,59,11,13,34,28,10,50,42
22,46,86,34,22,87,22,33,18,12
20,65,13,10,20,59,75,23,89,26
66,85,57,49,81,55,18,92,84,68
91,11,54,16,59,99,5,86,26,49
26,78,39,27,85,10,57,97,31,79
68,68,34,95,4,16,82,66,3,5
38,33,95,35,69,74,28,41,65,83
52,5,96,91,11,49,10,71,50,98
80,56,93,8,31,16,35,52,97,61
74,15,77,24,5,8,84,97,77,34
53,35,28,93,50,49,67,10,12,52
37,9,10,6,86,47,87,78,39,54
96,7,4,60,57,59,17,16,15,57
87,30,38,27,82,50,71,88,14,8
2,59,41,7,47,72,95,32,93,72
35,86,41,46,4,41,93,66,95,7
11,29,38,33,45,24,90,77,35,22
85,65,49,51,37,23,30,41,90,74
4,87,75,57,98,18,63,96,47,67
15,18,88,66,62,65,3,88,62,3
78,12,87,97,65,85,41,27,24,16
83,90,26,6,89,66,56,14,78,7
47,45,31,8,7,17,27,61,29,35
80,81,61,39,4,13,46,25,17,61
70,27,38,67,49,83,94,93,53,51
41,55,49,83,16,11,98,55,76,99
68,73,15,90,81,69,16,93,31,14
8,57,88,86,48,7,49,52,3,94
25,45,7,65,96,83,88,97,35,18
79,74,28,26,68,25,15,42,84,67
17,57,35,6,29,71,15,95,14,54
20,31,23,17,50,55,65,12,12,52
18,23,58,95,91,8,86,33,73,14
76,29,97,49,55,52,29,54,8,67
11,15,29,71,29,1,85,4,22,27
37,88,45,37,34,14,73,46,79,94
50,57,56,15,27,85,29,12,46,1
20,55,67,60,39,35,98,28,1,47
53,7,43,40,36,61,54,80,98,62
77,78,89,34,47,8,90,21,25,48
3,66,96,18,11,22,12,6,82,1
69,74,40,10,9,11,47,52,63,98
70,71,38,31,70,40,62,87,11,56
92,47,22,30,20,3,44,28,6,58
23,28,79,39,62,2,47,80,7,54
29,44,96,56,85,8,75,64,26,22
75,8,20,18,71,34,42,45,7,21
